source_id,category,title,url,version_or_commit,accessed_at,license,evidence_level,module,adoption_status,notes
REPO-008,code,OK-Robot,https://github.com/ok-robot/ok-robot,174c742b6a1866a2da8f75a89e2c544bb77ab5f9,2026-07-22,MIT-WITH-RESTRICTED-COMPONENTS,primary-code,system-architecture,research-only,"Modular language navigation and pick/drop architecture; AnyGrasp requires separate authorization and is forbidden."
REPO-009,code,ACT++,https://github.com/MarkFzp/act-plus-plus,26bab0789d05b7496bacef04f5c6b2541a4403b5,2026-07-22,MIT,primary-code,grasp-policy,research-only,"Action chunking and temporal aggregation; Mobile ALOHA action space differs from Tiago."
REPO-010,code,MobileManiBench,https://github.com/DexHand/MobileManiBench,135466638d379c642f0c3f1742e6c20091b203c7,2026-07-22,BSD-3-Clause,primary-code,evaluation-and-data,research-only,"2026 mobile manipulation benchmark; Isaac Sim stack is not a direct dependency candidate."
REPO-011,code,RoboMonkey,https://github.com/robomonkey-vla/RoboMonkey,db9f8d314ea78e986f515617ac43afc58f984a53,2026-07-22,MIT,primary-code,verification,research-only,"Test-time sampling and action verification; use only lightweight deterministic verifier ideas."
REPO-012,code,Microsoft scene-aware robot BT planner,https://github.com/microsoft/scene-aware-robot-BT-planner,efebc2b0883249a63c7b2a47e504727e4f327a21,2026-07-22,MIT,primary-code,orchestration,research-only,"Mostly prompt examples and frontend; not a complete execution backend."
REPO-013,code,Nav2,https://github.com/ros-navigation/navigation2,99503c8a238d0012eb477d6a1f3f70e4b8bac767,2026-07-22,MIXED,primary-code,navigation,concept-only,"Use inflation, footprint and collision-critic concepts; do not import the ROS 2 stack."
REPO-014,code,LeRobot,https://github.com/huggingface/lerobot,73dbb6f43a5088583706c91fb73c6957bca5f806,2026-07-22,Apache-2.0,primary-code,vla,watch,"Active VLA framework including ACT, Diffusion and SmolVLA; migration cost is too high for the first baseline."
REPO-015,code,MimicGen,https://github.com/NVlabs/mimicgen,72bd767c255545f462e7ccfb2731f2e5d4c1d9bb,2026-07-22,NVIDIA-NONCOMMERCIAL,primary-code,data,do-not-integrate,"Code and derivatives are limited to non-commercial research/evaluation; prize/publication implications require review."
COMMUNITY-001,competition-fork,QiShengZhao JCIIOT2026 fork,https://github.com/QiShengZhao/JCIIOT2026,95fa2bedc3b4bc286cb86258169bde046090d065,2026-07-22,NOASSERTION,community-code,diagnostics,comparison-only,"Contains L1 fixed plan and DAgger attempts but modifies forbidden core/scoring files; do not copy."
COMMUNITY-002,competition-fork,jiangzizi JCIIOT2026 fork,https://github.com/jiangzizi/JCIIOT2026,d2d86270,2026-07-22,NOASSERTION,community-code,diagnostics,comparison-only,"Mostly headless changes and exported documentation; no independently verified score."
PAPER-001,paper,OpenVLA-OFT,https://arxiv.org/abs/2502.19645,arXiv:2502.19645,2026-07-22,SEE-PAPER,primary-paper,vla,watch,"Parallel decoding, action chunking and continuous actions; compute and integration cost are high."
PAPER-002,project,SmolVLA release,https://huggingface.co/blog/smolvla,2025-release,2026-07-22,Apache-2.0-framework,primary-project,vla,watch,"450M VLA with flow matching and asynchronous inference in LeRobot."
PAPER-003,paper,pi0.5,https://www.pi.website/blog/pi05,2025-release,2026-07-22,SEE-PROJECT,primary-project,mobile-manipulation,concept-only,"Hierarchical high-level subtask prediction is architecturally relevant."
PAPER-004,paper,Xiaomi-Robotics-1,https://arxiv.org/abs/2607.15330,arXiv:2607.15330,2026-07-22,SEE-PAPER,primary-paper,mobile-manipulation,watch,"Very recent preprint; code and weights were not publicly available when checked."
PAPER-005,paper,BAKU,https://arxiv.org/abs/2406.07539,arXiv:2406.07539,2026-07-22,SEE-PAPER,primary-paper,grasp-policy,concept-only,"Multi-task robot Transformer and action chunking reference."
PAPER-006,code,Diffusion Policy,https://github.com/real-stanford/diffusion_policy,main,2026-07-22,MIT,primary-code,grasp-policy,concept-only,"Use robomimic's integrated implementation before adding this separate stack."
PAPER-007,paper,Colosseum V2,https://arxiv.org/abs/2605.27759,arXiv:2605.27759,2026-07-22,SEE-PAPER,evaluation,vla,concept-only,"Distribution-shift benchmark supports explicit geometry and state validation."
PAPER-008,paper,LLM as BT-Planner,https://arxiv.org/abs/2409.10444,arXiv:2409.10444,2026-07-22,SEE-PAPER,primary-paper,orchestration,concept-only,"LLM generation and maintenance of robot behavior trees."
PAPER-009,paper,H-AIM,https://arxiv.org/abs/2601.11063,arXiv:2601.11063,2026-07-22,SEE-PAPER,primary-paper,orchestration,concept-only,"LLM, PDDL and behavior-tree hierarchical execution."
PAPER-010,paper,Multimodal Behavior Tree Generation,https://arxiv.org/abs/2603.06084,arXiv:2603.06084,2026-07-22,SEE-PAPER,primary-paper,sop-and-orchestration,concept-only,"Multimodal task description to BehaviorTree.CPP structure."
NAV-001,documentation,Nav2 Smac Hybrid-A star,https://docs.nav2.org/configuration/packages/smac/configuring-smac-hybrid.html,live-doc,2026-07-22,SEE-DOC,primary-doc,navigation,concept-only,"Cost-aware planning and heuristic concepts."
NAV-002,documentation,Nav2 inflation layer,https://docs.nav2.org/configuration/packages/costmap-plugins/inflation.html,live-doc,2026-07-22,SEE-DOC,primary-doc,navigation,adopt-concept,"Distance-decay obstacle cost is directly relevant."
NAV-003,documentation,Nav2 MPPI controller,https://docs.nav2.org/configuration/packages/configuring-mppic.html,live-doc,2026-07-22,SEE-DOC,primary-doc,navigation,concept-only,"Footprint collision and near-collision critics."
MOTION-001,code,cuRobo,https://github.com/NVlabs/curobo,main,2026-07-22,SEE-REPOSITORY,primary-code,manipulation,watch,"GPU IK and collision checking; only evaluate after baseline manipulation is proven to be the bottleneck."
